latency_cycles,count
532,4
533,3
534,4
535,4
536,3
537,4
538,4
539,4
540,4
541,3
542,3
543,4
544,5
545,4
546,3
547,3
548,3
549,5
550,5
551,3
552,3
553,3
554,4
555,5
556,3
557,3
558,3
559,4
560,4
561,3
562,3
563,3
564,4
565,4
566,2
567,3
568,3
569,4
570,4
571,2
572,2
573,3
574,4
575,4
576,2
577,2
578,2
579,4
580,4
581,2
582,2
583,2
584,3
585,4
586,2
587,2
588,2
589,3
590,3
591,2
592,2
593,2
594,3
595,3
596,2
597,2
598,2
599,3
600,4
601,2
602,2
603,2
604,3
605,4
606,3
607,2
608,2
609,3
610,4
611,3
612,3
613,2
614,3
615,4
616,3
617,3
618,3
619,3
620,4
621,3
622,3
623,3
624,4
625,4
626,3
627,3
628,3
629,4
630,5
631,3
632,3
633,3
634,3
635,5
636,4
637,3
638,3
639,3
640,4
641,4
642,4
643,3
644,3
645,4
646,3
647,4
648,4
649,3
650,4
651,3
652,3
653,4
654,4
655,4
656,3
657,3
658,3
659,4
660,5
661,3
662,3
663,3
664,3
665,5
666,4
667,3
668,3
669,3
670,4
671,4
672,3
673,3
674,3
675,4
676,3
677,3
678,3
679,3
680,4
681,3
682,2
683,3
684,3
685,4
686,3
687,2
688,2
689,3
690,4
691,3
692,2
693,2
694,2
695,4
696,3
697,2
698,2
699,2
700,3
701,3
702,2
703,2
704,2
705,3
706,3
707,2
708,2
709,2
710,4
711,3
712,2
713,2
714,2
715,4
716,4
717,2
718,2
719,2
720,4
721,4
722,3
723,2
724,2
725,4
726,4
727,3
728,3
729,2
730,4
731,4
732,3
733,3
734,3
735,4
736,4
737,3
738,3
739,3
740,5
741,4
742,3
743,3
744,3
745,5
746,5
747,3
748,3
749,3
750,4
751,5
752,4
753,3
754,3
755,4
756,4
757,4
758,4
759,3
760,4
761,4
762,3
763,4
764,4
765,4
766,4
767,3
768,3
769,4
770,5
771,4
772,3
773,3
774,3
775,5
776,5
777,3
778,3
779,3
780,4
781,5
782,4
783,3
784,3
785,4
786,4
787,4
788,3
789,3
790,4
791,4
792,3
793,3
794,3
795,4
796,4
797,3
798,2
799,3
800,4
801,4
802,3
803,2
804,2
805,4
806,4
807,3
808,2
809,2
810,3
811,4
812,3
813,2
814,2
815,3
816,3
817,3
818,2
819,2
820,3
821,3
822,3
823,2
824,2
825,3
826,4
827,3
828,2
829,2
830,3
831,4
832,4
833,2
834,2
835,3
836,4
837,4
838,3
839,2
840,3
841,4
842,4
843,3
844,3
845,3
846,4
847,4
848,3
849,3
850,4
851,4
852,4
853,3
854,3
855,4
856,5
857,4
858,3
859,3
860,3
861,5
862,5
863,3
864,3
865,3
866,4
867,5
868,4
869,3
870,3
871,4
872,4
873,4
874,4
875,3
876,4
877,4
878,3
879,4
880,4
881,4
882,4
883,3
884,3
885,4
886,5
887,4
888,3
889,3
890,3
891,5
892,5
893,3
894,3
895,3
896,4
897,5
898,3
899,3
900,3
901,4
902,4
903,3
904,3
905,3
906,4
907,4
908,2
909,3
910,3
911,4
912,4
913,2
914,2
915,3
916,4
917,4
918,2
919,2
920,2
921,4
922,4
923,2
924,2
925,2
926,3
927,4
928,6
929,2
930,2
931,3
932,3
933,6
934,2
935,2
936,3
937,3
938,6
939,2
940,2
941,3
942,3
943,6
944,2
945,2
946,3
947,3
948,5
949,2
950,2
951,3
952,3
953,5
954,2
955,2
956,3
957,3
958,5
959,2
960,2
961,3
962,3
963,5
964,2
965,2
966,3
967,3
968,5
969,2
970,2
971,3
972,3
973,5
974,2
975,2
976,2
977,3
978,4
979,2
980,2
981,2
982,2
983,4
984,2
985,2
986,2
987,2
988,3
989,2
990,2
991,2
992,2
993,3
994,1
995,2
996,2
997,2
998,3
999,1
1000,1
1001,2
1002,2
1003,3
1004,1
1005,1
1006,1
1007,2
1008,2
1009,1
1010,1
1011,1
1012,1
1013,2
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,0
1025,1
1026,1
1027,1
1028,1
1029,0
1030,0
1031,1
1032,1
1033,1
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
