name,first_one_ps,last_one_ps,rise_count,one_samples,known_samples,final
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_mux_0.out_valid,500,1025000,1,2049,2049,1
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_mux_0.out_ready,500,1023000,512,1024,2049,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.headerinfo_valid,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.hit_type0_out_valid,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.hit_type0_out_ready,500,1025000,1,2049,2049,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.hit_type0_out_startofpacket,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.hit_type0_out_endofpacket,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.mux_mutrig2processor.out_valid,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.mux_mutrig2processor.out_ready,500,1025000,1,2049,2049,1
u_feb_system.u_qsys.data_path_subsystem.mux_mutrig2processor.out_startofpacket,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.mux_mutrig2processor.out_endofpacket,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.rst_controller_001.reset_out,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.histogram_ingress_bridge_0.asi_pre_valid,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.histogram_ingress_bridge_0.asi_pre_ready,500,1025000,1,2049,2049,1
u_feb_system.u_qsys.data_path_subsystem.histogram_ingress_bridge_0.aso_pre_valid,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.histogram_ingress_bridge_0.aso_pre_ready,500,1025000,1,2049,2049,1
u_feb_system.u_qsys.data_path_subsystem.histogram_ingress_bridge_0.aso_pre_startofpacket,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.histogram_ingress_bridge_0.aso_pre_endofpacket,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.histogram_ingress_bridge_0.aso_hist_valid,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.histogram_ingress_bridge_0.aso_hist_ready,500,1025000,1,2049,2049,1
u_feb_system.u_qsys.data_path_subsystem.histogram_ingress_bridge_0.aso_hist_startofpacket,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.histogram_ingress_bridge_0.aso_hist_endofpacket,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.mts_preprocessor_0.asi_hit_type0_valid,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.mts_preprocessor_0.asi_hit_type0_ready,500,1025000,1,2049,2049,1
u_feb_system.u_qsys.data_path_subsystem.mts_preprocessor_0.aso_hit_type1_valid,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.mts_preprocessor_0.aso_hit_type1_ready,500,1025000,1,2049,2049,1
u_feb_system.u_qsys.data_path_subsystem.mts_preprocessor_0.aso_hit_type1_startofpacket,never,never,0,0,2049,0
u_feb_system.u_qsys.data_path_subsystem.mts_preprocessor_0.aso_hit_type1_endofpacket,never,never,0,0,2049,0
