hit_id,lane,channel,t_fine,t_coarse,root_hit_id,abs_ts_a,abs_ts_pre_rbcam,abs_ts_post_rbcam,abs_ts_feb_egress,run_origin
556550720585800,0,8,0,5372,556550720585800,2037748000,2037884000,2047692000,2052406400,1
556563605487689,0,9,0,5372,556563605487689,2037772000,2037908000,2047724000,2052412800,1
556580785356874,0,10,0,5372,556580785356874,2037804000,2037940000,2047756000,2052419200,1
556593670258763,0,11,0,5372,556593670258763,2037828000,2037964000,2047788000,2052425600,1
556610850127948,0,12,0,5372,556610850127948,2037860000,2037996000,2047820000,2052432000,1
556623735029837,0,13,0,5372,556623735029837,2037884000,2038020000,2047852000,2052438400,1
556640914899022,0,14,0,5372,556640914899022,2037916000,2038052000,2047884000,2052444800,1
556653799800911,0,15,0,5372,556653799800911,2037940000,2038076000,2047916000,2052451200,1
556670979670096,0,16,0,5372,556670979670096,2037972000,2038108000,2047948000,2052457600,1
556683864571985,0,17,0,5372,556683864571985,2037996000,2038132000,2047980000,2052464000,1
556701044441170,0,18,0,5372,556701044441170,2038028000,2038164000,2048012000,2052470400,1
556713929343059,0,19,0,5372,556713929343059,2038052000,2038188000,2048044000,2052476800,1
556731109212244,0,20,0,5372,556731109212244,2038084000,2038220000,2048076000,2052483200,1
556743994114133,0,21,0,5372,556743994114133,2038108000,2038244000,2048108000,2052489600,1
556761173983318,0,22,0,5372,556761173983318,2038140000,2038276000,2048140000,2052496000,1
556774058885207,0,23,0,5372,556774058885207,2038164000,2038300000,2048172000,2052502400,1
556791238754392,0,24,0,5372,556791238754392,2038196000,2038332000,2048204000,2052508800,1
556804123656281,0,25,0,5372,556804123656281,2038220000,2038356000,2048236000,2052515200,1
556821303525466,0,26,0,5372,556821303525466,2038252000,2038388000,2048268000,2052521600,1
556834188427355,0,27,0,5372,556834188427355,2038276000,2038412000,2048300000,2052528000,1
556851368296540,0,28,0,5372,556851368296540,2038308000,2038444000,2048332000,2052534400,1
556864253198429,0,29,0,5372,556864253198429,2038332000,2038468000,2048364000,2052540800,1
556881433067614,0,30,0,5372,556881433067614,2038364000,2038500000,2048396000,2052547200,1
556894317969503,0,31,0,5372,556894317969503,2038388000,2038524000,2048428000,2052553600,1
560338881740896,0,0,0,7768,560338881740896,2044804000,2044940000,2057548000,2083574400,1
560351766642785,0,1,0,7768,560351766642785,2044828000,2044964000,2057580000,2083580800,1
560368946511970,0,2,0,7768,560368946511970,2044860000,2044996000,2057612000,2083587200,1
560381831413859,0,3,0,7768,560381831413859,2044884000,2045020000,2057644000,2083593600,1
560399011283044,0,4,0,7768,560399011283044,2044916000,2045052000,2057676000,2083600000,1
560411896184933,0,5,0,7768,560411896184933,2044940000,2045076000,2057708000,2083606400,1
560429076054118,0,6,0,7768,560429076054118,2044972000,2045108000,2057740000,2083612800,1
560441960956007,0,7,0,7768,560441960956007,2044996000,2045132000,2057772000,2083619200,1
560459140825192,0,8,0,7768,560459140825192,2045028000,2045164000,2057804000,2083625600,1
560472025727081,0,9,0,7768,560472025727081,2045052000,2045188000,2057836000,2083632000,1
560489205596266,0,10,0,7768,560489205596266,2045084000,2045220000,2057868000,2083638400,1
560502090498155,0,11,0,7768,560502090498155,2045108000,2045244000,2057900000,2083644800,1
560519270367340,0,12,0,7768,560519270367340,2045140000,2045276000,2057932000,2083651200,1
560532155269229,0,13,0,7768,560532155269229,2045164000,2045300000,2057964000,2083657600,1
560549335138414,0,14,0,7768,560549335138414,2045196000,2045332000,2057996000,2083664000,1
560562220040303,0,15,0,7768,560562220040303,2045220000,2045356000,2058028000,2083670400,1
560579399909488,0,16,0,7768,560579399909488,2045252000,2045388000,2058060000,2083676800,1
560592284811377,0,17,0,7768,560592284811377,2045276000,2045412000,2058092000,2083683200,1
560609464680562,0,18,0,7768,560609464680562,2045308000,2045444000,2058124000,2083689600,1
560622349582451,0,19,0,7768,560622349582451,2045332000,2045468000,2058156000,2083696000,1
560639529451636,0,20,0,7768,560639529451636,2045364000,2045500000,2058188000,2083702400,1
560652414353525,0,21,0,7768,560652414353525,2045388000,2045524000,2058220000,2083708800,1
560669594222710,0,22,0,7768,560669594222710,2045420000,2045556000,2058252000,2083715200,1
560682479124599,0,23,0,7768,560682479124599,2045444000,2045580000,2058284000,2083721600,1
560699658993784,0,24,0,7768,560699658993784,2045476000,2045612000,2058316000,2083728000,1
560712543895673,0,25,0,7768,560712543895673,2045500000,2045636000,2058348000,2083734400,1
560729723764858,0,26,0,7768,560729723764858,2045532000,2045668000,2058380000,2083740800,1
560742608666747,0,27,0,7768,560742608666747,2045556000,2045692000,2058412000,2083747200,1
560759788535932,0,28,0,7768,560759788535932,2045588000,2045724000,2058444000,2083753600,1
560772673437821,0,29,0,7768,560772673437821,2045612000,2045748000,2058476000,2083760000,1
560789853307006,0,30,0,7768,560789853307006,2045644000,2045780000,2058508000,2083766400,1
560802738208895,0,31,0,7768,560802738208895,2045668000,2045804000,2058540000,2083772800,1
564247301980288,0,0,0,17386,564247301980288,2052084000,2052220000,2067532000,2084278400,1
564260186882177,0,1,0,17386,564260186882177,2052108000,2052244000,2067564000,2084284800,1
564277366751362,0,2,0,17386,564277366751362,2052140000,2052276000,2067596000,2084291200,1
564290251653251,0,3,0,17386,564290251653251,2052164000,2052300000,2067628000,2084297600,1
564307431522436,0,4,0,17386,564307431522436,2052196000,2052332000,2067660000,2084304000,1
