interval_index,target_elapsed_s,wall_elapsed_s,bank_status,toggle_seen,total_hits,dropped_hits,last_interval_total_hits,last_interval_dropped_hits
0,0.009999990,0.015259504,0x00000001,1,5856,0,6752,0
1,0.019999981,0.033457041,0x00000000,1,2880,0,6784,0
2,0.029999971,0.041174650,0x00000001,1,6400,0,6784,0
3,0.039999962,0.046353102,0x00000000,1,3616,0,6752,0
4,0.049999952,0.075768232,0x00000001,1,5664,0,6720,0
