interval_index,target_elapsed_s,wall_elapsed_s,bank_status,toggle_seen,total_hits,dropped_hits,last_interval_total_hits,last_interval_dropped_hits
0,0.009999990,0.019566059,0x00000000,1,5440,0,9728,0
1,0.019999981,3.109758615,0x00000001,1,7680,0,9792,0
2,0.029999971,5.000824451,0x00000000,1,6400,0,9760,0
3,0.039999962,6.991363287,0x00000001,1,7168,0,9792,0
4,0.049999952,8.637712479,0x00000000,1,8800,0,9760,0
5,0.059999943,10.693683624,0x00000001,1,1216,0,9792,0
6,0.069999933,12.538303614,0x00000000,1,4096,0,9792,0
7,0.079999924,14.133280277,0x00000000,1,6304,0,9728,0
8,0.089999914,16.135968685,0x00000000,1,1696,0,9760,0
9,0.099999905,17.932035208,0x00000001,1,2624,0,9760,0
