name,first_one_ps,last_one_ps,rise_count,one_samples,known_samples,final
u_feb_system.u_qsys.data_path_subsystem.lvds_outclock_clk,500,2047500,2048,2048,4098,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_valid,500,2047000,1024,2048,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_ready,500,2049000,1,4097,4097,1
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_data[0],301500,307000,2,8,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_data[1],301500,1857000,2,8,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_data[2],500,2049000,3,4081,4097,1
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_data[3],500,2049000,3,4085,4097,1
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_data[4],500,2049000,3,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_data[5],500,2049000,3,4069,4097,1
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_data[6],305500,307000,1,4,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_data[7],500,2049000,5,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_data[8],500,2049000,3,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_error[0],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_error[1],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_error[2],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_channel[0],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_channel[1],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_channel[2],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_channel[3],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_channel[4],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.emulator_mutrig_0.aso_tx8b1k_valid,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.emulator_mutrig_0.u_emulator_mutrig.u_frontend_run_ctl.run_generating,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.in_0_valid,500,2047000,1024,2048,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.in_0_ready,500,2049000,1,4097,4097,1
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid,500,2047000,1024,2048,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data[0],301500,307000,2,8,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data[1],301500,1857000,2,8,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data[2],500,2049000,3,4081,4097,1
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data[3],500,2049000,3,4085,4097,1
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data[4],500,2049000,3,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data[5],500,2049000,3,4069,4097,1
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data[6],305500,307000,1,4,4097,0
